Date,OCBaseline,60thOC,70thOC,80thOC,90thOC,95thOC,NCBaseline,60thNC,70thNC,80thNC,90thNC,95thNC
3/3/2008,3.98,4.090786679,4.237899643,4.403339462,4.701030075,4.96212604,3.9,4.010786679,4.157899643,4.323339462,4.621030075,4.88212604
9/2/2008,5.44,5.550786679,5.697899643,5.863339462,6.161030075,6.42212604,5.25,5.378455384,5.547456812,5.742176755,6.038417168,6.288607639
3/2/2009,3.89,3.998920816,4.153607494,4.322388529,4.62812273,4.832844526,3.74,3.848920816,4.003607494,4.172388529,4.47812273,4.682844526
9/1/2009,3.47,3.578920816,3.733607494,3.902388529,4.20812273,4.412844526,3.69,3.826225565,3.98163911,4.203781911,4.489739014,4.75361091
3/1/2010,3.6,3.687779133,3.85738097,4.071312355,4.507526536,4.788799044,3.72,3.807779133,3.97738097,4.191312355,4.627526536,4.908799044
9/1/2010,3.68,3.767779133,3.93738097,4.151312355,4.587526536,4.868799044,3.8,3.87827646,4.108399251,4.356232819,4.762381575,5.13609054
3/1/2011,5.32,5.452797409,5.660915281,6.076647687,6.522979879,6.955105172,5.03,5.162797409,5.370915281,5.786647687,6.232979879,6.665105172
9/1/2011,7.44,7.572797409,7.780915281,8.196647687,8.642979879,9.075105172,6.92,7.091335435,7.299869575,7.617935764,8.207800183,8.582476638
3/1/2012,5.96,6.107079739,6.364145833,6.626488925,7.007304813,7.383798844,4.81,4.957079739,5.214145833,5.476488925,5.857304813,6.233798844
9/4/2012,8.1,8.247079739,8.504145833,8.766488925,9.147304813,9.523798844,5.2,5.401997047,5.618020124,6.037612263,6.485977379,6.744769389
3/1/2013,7.08,7.262048544,7.525209823,7.898197005,8.396861475,8.759860439,5.18,5.362048544,5.625209823,5.998197005,6.496861475,6.859860439
9/3/2013,4.64,4.822048544,5.085209823,5.458197005,5.956861475,6.319860439,4.37,4.488406045,4.810859527,5.117933775,5.653491004,6.27505827
3/3/2014,4.42,4.557632102,4.772858948,5.049709935,5.462182347,5.88888509,4.17,4.307632102,4.522858948,4.799709935,5.212182347,5.63888509
9/2/2014,3.89,4.027632102,4.242858948,4.519709935,4.932182347,5.35888509,4.09,4.265685828,4.466603788,4.74488681,5.376610799,5.848746133
3/2/2015,3.63,3.729062416,3.978215121,4.211009993,4.671391412,5.13253386,3.89,3.989062416,4.238215121,4.471009993,4.931391412,5.39253386
9/1/2015,3.68,3.779062416,4.028215121,4.261009993,4.721391412,5.18253386,3.71,3.869045198,4.060632828,4.363731467,4.79279299,5.236614094
3/1/2016,3.6,3.671339668,3.930130692,4.234272748,4.64433964,5.031298388,3.75,3.821339668,4.080130692,4.384272748,4.79433964,5.181298388
9/1/2016,3.19,3.261339668,3.520130692,3.824272748,4.23433964,4.621298388,3.57,3.724189627,3.951756608,4.269119392,4.760825985,5.182219007
3/1/2017,3.38,3.473922415,3.686662195,3.941439767,4.226237856,4.568536152,3.6,3.693922415,3.906662195,4.161439767,4.446237856,4.788536152
9/1/2017,3.48,3.573922415,3.786662195,4.041439767,4.326237856,4.668536152,3.64,3.75437146,3.974318327,4.315247257,4.806092374,5.073503602
