BETHANY   MO - GANGES FEED &amp; GRAIN - Corn Basis,,,,,,
"Week
",2019,2018,2017,2016,2015,2014
1,-0.4475,-0.55,-0.5475,-0.4025,-0.7025,-0.205
2,-0.4,-0.5475,-0.5525,-0.37,-0.7,-0.21
3,-0.4,-0.55,-0.5525,-0.3475,-0.7,-0.1975
4,-0.3975,-0.505,-0.5475,-0.3525,-0.7025,-0.1988
5,-0.4,-0.5025,,-0.35,-0.705,-0.1625
6,-0.3975,-0.5025,-0.5275,-0.35,-0.6475,
7,-0.3975,-0.4975,-0.5475,-0.3525,-0.6475,-0.1875
8,-0.3975,-0.475,-0.55,-0.355,-0.6475,-0.245
9,-0.445,-0.5525,-0.54,-0.3525,-0.555,-0.3
10,-0.435,-0.5475,-0.6025,-0.355,-0.48,
11,-0.4325,-0.55,-0.605,-0.3525,-0.4775,-0.4475
12,-0.4375,-0.555,-0.5663,-0.3525,-0.48,-0.385
13,-0.4075,-0.55,-0.5475,-0.35,-0.4775,-0.3475
14,-0.3975,-0.55,-0.55,-0.355,-0.4025,-0.3525
15,-0.3725,-0.55,-0.5475,-0.4475,-0.4,-0.355
16,-0.3775,-0.555,-0.55,-0.4475,-0.3313,-0.3025
17,-0.434,-0.69,-0.5475,-0.4975,-0.2975,-0.3
18,-0.3525,-0.6075,-0.5525,-0.505,-0.3025,-0.285
19,-0.345,-0.6025,-0.545,-0.505,-0.3,-0.385
20,-0.3525,-0.58,-0.5513,-0.4975,-0.305,-0.285
21,-0.3575,-0.5035,-0.545,-0.4975,-0.3,-0.2825
22,-0.35,-0.51,-0.55,-0.5025,-0.3025,-0.28
23,-0.35,-0.5025,-0.5475,-0.6,-0.3025,-0.295
24,-0.3525,-0.505,-0.5475,-0.5988,-0.3025,-0.3
25,-0.4075,-0.5025,,-0.605,-0.455,
26,-0.3,-0.5,-0.625,-0.6,-0.415,
27,-0.25,-0.5025,-0.625,-0.605,-0.5,-0.3025
28,-0.2513,-0.4225,-0.6175,-0.5975,-0.4975,-0.365
29,-0.255,-0.42,-0.605,-0.55,-0.4975,
30,-0.25,-0.2825,-0.6025,-0.555,-0.4525,-0.4
31,-0.255,-0.285,-0.605,-0.5525,-0.4525,-0.395
32,-0.2475,-0.3038,-0.6025,-0.555,-0.5625,-0.55
33,-0.355,-0.4525,-0.68,-0.5925,-0.455,-0.55
34,-0.4,-0.455,-0.685,-0.5975,-0.45,
35,-0.4025,-0.4575,-0.68,-0.6,-0.53,-0.5475
36,-0.4025,-0.4,-0.6,-0.6025,-0.5,-0.705
37,,-0.4475,-0.6025,-0.6775,-0.4975,-0.7525
38,,-0.4475,-0.6,-0.67,-0.4,-0.8025
39,,-0.4525,-0.605,-0.675,-0.4,-0.805
40,,-0.4525,-0.6,-0.68,-0.4,-0.8263
41,,-0.4025,-0.6025,-0.6825,-0.425,-0.8525
42,,-0.36,-0.6025,-0.6775,-0.4025,-0.8475
43,,,-0.6025,-0.655,-0.3775,-0.8525
44,,-0.355,-0.5013,-0.5975,-0.38,-0.8025
45,,-0.4525,-0.5475,-0.65,-0.4025,-0.85
46,,-0.4525,-0.55,-0.655,-0.3375,-0.7975
47,,-0.4575,-0.5525,-0.6525,-0.3925,-0.8025
48,,-0.4525,-0.5475,-0.6525,-0.4025,-0.7775
