SCOTT CITY MO - MIDWEST GRAIN &amp; BARGE - Corn Basis,,,,,,
"Week
",2019,2018,2017,2016,2015,2014
1,,0.05,0.1225,0.0475,-0.1025,0.005
2,-0.1,0.0525,0.1175,0.05,0,0.05
3,-0.035,0.05,0.0575,0.0525,0,0.0525
4,0,0.055,0.0625,0.0475,-0.0025,0.0262
5,0.0025,0.0575,0.0975,0.07,0.005,0.0875
6,0.0025,0.0575,0.1025,0.05,0.0525,0.1
7,0.0525,0.0525,0.1025,0.0475,0.0525,0.1025
8,-0.045,0.155,0.1,0.055,0.0525,0.055
9,-0.045,0.0275,0.04,-0.0025,0.055,-0.1
10,-0.0425,-0.0975,0.0475,0.005,,0.055
11,-0.1075,-0.1,-0.005,0.0475,0.0025,0.0825
12,0.0025,-0.145,0.0288,0.0525,0,0.085
13,0.0025,-0.1,0.0025,0.07,-0.0075,0.0825
14,-0.0025,0,0,0.085,0.0475,0.0975
15,0.0425,-0.1,0.0025,0.0725,0.15,0.105
16,-0.034,0.005,0.05,0.0825,0.1788,0.1025
17,-0.0025,-0.08,-0.0375,0.0525,0.1025,0.11
18,-0.095,-0.0875,-0.0225,0.045,0.0975,0.105
19,-0.0525,0.0475,0.055,0.045,0.1,0.155
20,-0.1075,0.055,0.0538,0.0025,0.105,0.155
21,-0.1,-0.0535,-0.145,0.0025,0.1,0.1475
22,-0.1,-0.05,-0.1,-0.0025,0.0975,0.15
23,-0.0925,-0.0525,-0.0475,0,0.0975,0.155
24,-0.1975,0.005,0.0025,0.0012,-0.0425,
25,-0.05,-0.0725,,0.005,-0.135,
26,-0.05,-0.1,-0.195,0,-0.055,-0.2025
27,-0.1663,-0.1525,-0.195,0.105,-0.09,0.0975
28,-0.295,-0.0025,-0.1975,0.1025,-0.0975,0.2
29,-0.3,-0.05,-0.195,0.1,-0.0975,0.1975
30,-0.295,-0.1025,-0.1925,0.005,-0.2025,0
31,-0.2475,-0.105,-0.145,,-0.2025,-0.095
32,-0.395,-0.0488,-0.1225,-0.045,-0.3125,-0.25
33,-0.25,-0.3025,-0.25,-0.1125,-0.295,
34,-0.3025,-0.295,-0.245,-0.1475,-0.35,-0.2475
35,-0.2525,-0.3575,-0.35,-0.1,-0.33,-0.2475
36,,-0.25,-0.45,-0.1025,-0.305,-0.445
37,,-0.2475,-0.4525,-0.1975,-0.1975,-0.5525
38,,-0.1475,-0.35,-0.09,-0.15,-0.6525
39,,-0.3125,-0.255,-0.045,-0.25,-0.345
40,,-0.19,-0.25,-0.05,0,-0.3763
41,,-0.0525,-0.1525,-0.0525,0.035,-0.2025
42,,0,-0.1025,0.0025,0.0875,-0.1475
43,,0.0025,-0.1025,0.005,0.0925,-0.1525
44,,0.005,-0.0263,0.0025,0.05,0.0975
45,,-0.0525,-0.0975,-0.05,-0.0025,0
46,,-0.1025,-0.1,-0.005,0.0625,-0.0475
47,,-0.0975,-0.0525,-0.0025,0.0575,-0.1525
48,,-0.1025,-0.0475,0.0975,-0.0025,-0.1025
