MOUND CITY MO - MOUND CITY FEED &amp; GRAIN - Soybeans Basis,,,,,,
"Week
",2019,2018,2017,2016,2015,2014
1,-0.95,-0.8075,-0.9325,-0.4975,-0.5525,-0.33
2,-0.95,-0.85,-0.875,-0.51,-0.5625,-0.2825
3,-0.955,-0.8675,-1.0025,-0.5,-0.565,-0.3
4,-0.95,-0.885,-0.975,-0.5,-0.5025,-0.315
5,-0.9175,-0.87,-0.9675,-0.4975,-0.47,-0.2125
6,-0.935,-0.8525,-0.9675,-0.5,-0.2975,-0.48
7,-0.845,-0.8525,-0.9725,-0.495,-0.2975,-0.5525
8,-0.795,-0.83,,,-0.3875,-0.5025
9,-0.87,-1.0125,-1.0475,-0.534,-0.4425,-0.525
10,-0.78,-1.0125,-0.9475,-0.5375,-0.4275,-0.42
11,-0.805,-0.9575,-0.97,,-0.4,-0.3725
12,-0.805,-0.91,-0.8488,-0.5813,-0.3475,-0.29
13,,-0.8825,-0.8125,-0.58,-0.3275,-0.3225
14,-0.85,-0.8275,-0.7475,-0.5775,-0.305,-0.3225
15,-0.85,-0.7975,-0.7325,-0.6275,-0.33,-0.2275
16,-0.7925,-0.755,-0.6475,-0.75,-0.325,-0.2262
17,-0.7975,-0.81,-0.8025,-0.77,-0.315,-0.0825
18,-0.7975,-0.8075,-0.8025,-0.8025,-0.3125,-0.0375
19,-0.805,-0.8075,-0.696,-0.7525,-0.2625,-0.1025
20,-0.8,-0.7563,-0.7013,-0.705,-0.26,-0.23
21,-0.8575,-0.7325,-0.6675,-0.6375,-0.1225,-0.355
22,,-0.68,-0.6175,-0.7475,-0.125,-0.325
23,,-0.685,-0.6175,-0.71,-0.17,-0.22
24,,-0.635,-0.59,-0.7,-0.2775,-0.1375
25,,-0.6525,-0.6675,-0.615,-0.2975,0.5325
26,,-0.56,-0.6975,,-0.0875,0.435
27,,-0.5725,-0.6975,-0.5125,-0.2525,0.4475
28,,-0.5675,-0.6975,-0.5375,-0.2888,0.1775
29,,-0.695,-0.71,-0.485,0.0225,0.985
30,,-0.6975,-0.7,-0.375,0.035,
31,,-0.785,-0.6675,-0.415,-0.005,0.7725
32,,-0.8525,-0.56,-0.4587,0.05,2.1425
33,,-1.05,-0.8,-0.215,-0.15,2.56
34,,-1.05,-0.825,-0.2175,-0.2525,1.8325
35,,-1.08,-0.9,-0.255,,-0.655
36,,-0.98,-0.955,-0.845,-0.4987,-0.8675
37,,-0.985,-0.9525,-0.6675,-0.65,-0.8475
38,,-0.9825,-0.9425,-0.785,-0.655,-0.85
39,,-0.9775,-0.9425,-0.825,,-0.805
40,,-0.9863,-0.955,-0.85,-0.535,
41,,-0.895,-1.0825,-0.955,-0.37,-0.8525
42,,-0.845,-1.005,-0.95,-0.3575,
43,,-0.85,-0.9025,-0.9475,-0.3475,-0.7375
44,,-0.855,-0.8638,-0.8625,-0.4525,-0.63
45,,-0.835,-0.8475,-0.88,-0.4525,-0.5825
46,,-0.85,-0.8525,-0.91,-0.4975,-0.55
47,,-0.85,-0.85,-0.8975,-0.475,-0.55
48,,,-0.855,-0.8675,-0.5313,-0.58
