TRENTON MO - HOFFMAN &amp; REED - Soybeans Basis,
"Week
",2014
1,-0.33
2,-0.2325
3,-0.33
4,-0.35
5,-0.1525
6,-0.44
7,-0.5425
8,-0.4925
9,-0.585
10,-0.54
11,-0.5425
12,-0.29
13,-0.2525
14,-0.2825
15,-0.2775
16,-0.2713
17,-0.1025
18,-0.0975
19,-0.0525
20,-0.09
21,-0.385
22,-0.355
23,-0.25
24,-0.2375
25,0.4325
26,0.405
27,0.3975
28,0.2275
29,1.005
30,1.095
31,0.6325
32,2.0825
33,
34,
35,
36,-0.8475
37,-0.8975
38,-0.85
39,-0.855
40,-0.8588
41,-0.9025
42,-0.7475
43,-0.7475
44,-0.75
45,-0.7525
46,-0.75
47,
48,
