"MEADVILLE MO - BUTTERFIELD ASSOCIATES GRAIN, INC. - Corn Basis",,,,,,
"Week
",2019,2018,2017,2016,2015,2014
1,-0.3975,-0.53,-0.5775,-0.3425,-0.6525,-0.135
2,-0.43,-0.5075,-0.5225,-0.29,-0.6,-0.14
3,-0.35,-0.51,-0.5725,-0.3475,-0.6,-0.1875
4,-0.38,-0.565,-0.6275,-0.3425,-0.6025,-0.2688
5,-0.35,-0.6025,-0.6225,-0.34,-0.605,-0.2525
6,-0.2875,-0.6025,-0.6275,-0.01,-0.6075,-0.26
7,-0.2975,-0.6075,-0.6375,-0.3925,-0.5575,-0.2875
8,-0.2975,-0.605,-0.64,-0.395,-0.5275,-0.245
9,-0.355,-0.7025,-0.68,-0.3425,-0.605,-0.34
10,-0.405,-0.6975,-0.6725,-0.345,-0.6,-0.395
11,-0.3425,-0.67,-0.645,-0.3925,-0.5575,-0.3975
12,-0.3575,-0.615,-0.5713,-0.4375,-0.6,-0.345
13,-0.2475,-0.59,-0.5175,-0.37,-0.5575,-0.3475
14,-0.1975,-0.55,-0.48,-0.395,-0.5525,-0.4425
15,-0.1525,-0.47,-0.4775,-0.4475,-0.5,-0.495
16,-0.1575,-0.445,-0.46,-0.3475,-0.4563,-0.4475
17,-0.234,-0.54,-0.5375,-0.3775,-0.4075,-0.55
18,-0.2925,-0.5075,-0.5325,-0.345,-0.4025,-0.425
19,-0.295,-0.4725,-0.545,-0.415,-0.45,-0.195
20,-0.4525,-0.505,-0.5913,-0.4475,-0.505,-0.195
21,-0.4475,-0.5035,-0.595,-0.5275,-0.5,-0.1725
22,-0.4,-0.53,-0.57,-0.6325,-0.5025,-0.34
23,-0.26,-0.5025,-0.6275,-0.63,-0.4525,-0.325
24,-0.2025,-0.405,-0.5975,-0.4688,-0.5025,-0.29
25,-0.1975,-0.4525,,-0.445,-0.705,-0.2025
26,-0.15,-0.35,-0.675,-0.53,-0.615,-0.2925
27,-0.15,-0.3125,-0.675,-0.525,-0.66,-0.3225
28,-0.0513,-0.3525,-0.6775,-0.5275,-0.6075,-0.32
29,-0.055,-0.44,-0.675,-0.53,-0.4575,-0.2925
30,0.11,-0.4925,-0.6725,-0.525,-0.4225,-0.27
31,-0.145,-0.485,-0.675,-0.5925,-0.3525,-0.295
32,-0.1475,-0.4688,-0.6975,-0.49,-0.5225,-0.49
33,-0.275,-0.6525,-0.93,-0.6625,-0.605,-0.44
34,-0.36,-0.575,-0.825,-0.6675,-0.69,-0.3275
35,-0.4325,-0.4575,-0.82,-0.67,-0.7,-0.3475
36,-0.4525,-0.55,-0.66,-0.7225,-0.585,-0.675
37,,-0.5475,-0.6825,-0.7675,-0.5175,-0.8425
38,,-0.4475,-0.68,-0.73,-0.42,-0.8425
39,,-0.4525,-0.675,-0.635,-0.25,-0.795
40,,-0.43,-0.68,-0.5,-0.29,-0.8163
41,,-0.3525,-0.6825,-0.5225,-0.265,-0.8525
42,,-0.34,-0.6525,-0.5275,-0.2425,-0.9075
43,,-0.3475,-0.5525,-0.445,-0.1675,-0.9025
44,,-0.195,-0.4513,-0.4675,-0.17,-0.7525
45,,-0.4625,-0.5875,-0.67,-0.2825,-0.75
46,,-0.4525,-0.5,-0.625,-0.3375,-0.7075
47,,-0.4275,-0.5325,-0.5225,-0.3525,-0.7025
48,,-0.4325,-0.5375,-0.5525,-0.2925,-0.6775
