CRAIG MO - CRAIG GRAIN &amp; SUPPLY CO - Soybeans Basis,,,,,,
"Week
",2019,2018,2017,2016,2015,2014
1,-0.91,-0.8575,-0.8525,-0.4375,-0.4825,-0.28
2,-0.88,-0.95,-0.855,-0.45,-0.4925,-0.2125
3,-0.885,-0.9475,-0.9525,-0.45,-0.505,-0.25
4,-0.89,-0.89,-0.955,-0.48,-0.4625,-0.275
5,-0.8875,-0.83,-0.9475,-0.4675,-0.4,-0.1425
6,-0.885,-0.8325,-0.9475,-0.47,-0.2675,-0.4
7,-0.845,-0.8325,-0.9525,-0.485,,-0.4825
8,-0.845,-0.83,-0.9575,-0.4875,-0.3375,-0.4925
9,-0.82,-0.9725,-1.0275,-0.514,-0.3925,-0.505
10,-0.78,-0.9725,-1.0075,-0.5175,-0.3375,-0.36
11,-0.775,-0.9675,-0.96,-0.515,-0.33,-0.3525
12,-0.775,-0.89,-0.7988,-0.5563,-0.3575,
13,-0.8175,-0.8725,-0.7625,-0.56,-0.3175,-0.2625
14,-0.78,-0.8675,-0.7075,-0.6375,-0.285,-0.3025
15,-0.78,-0.7275,-0.7025,,-0.32,-0.2375
16,-0.7825,-0.675,-0.6175,-0.73,-0.315,-0.2513
17,-0.9075,-0.76,-0.7025,-0.7,-0.295,-0.0825
18,-0.9175,-0.7575,-0.7025,-0.7825,-0.3125,-0.0475
19,-0.745,-0.7575,-0.746,-0.7725,-0.2425,-0.0125
20,-0.7475,-0.7613,-0.6513,-0.685,-0.21,-0.24
21,-0.8675,-0.6725,-0.6275,-0.6375,-0.1525,-0.135
22,-0.87,-0.67,-0.5475,-0.7375,-0.215,-0.225
23,-0.8425,-0.665,-0.5775,-0.67,-0.15,-0.18
24,-0.8825,-0.545,-0.55,-0.655,-0.2675,-0.1675
25,-0.9175,-0.5525,,-0.675,-0.3175,0.3925
26,-0.855,-0.58,-0.6175,-0.5575,-0.1075,0.365
27,-0.855,-0.5525,-0.6175,-0.6025,-0.3025,0.3775
28,-0.8,-0.5475,-0.6175,-0.6375,-0.2738,0.2025
29,-0.89,-0.595,-0.67,-0.565,-0.1575,1.105
30,-0.895,-0.5975,-0.66,-0.415,-0.105,0.845
31,-0.895,-0.595,-0.6375,-0.465,-0.035,0.6825
32,-0.8875,-0.6825,-0.55,-0.4738,0.07,1.7425
33,-0.985,-0.89,-0.75,-0.605,-0.18,2.16
34,-1.005,-0.89,-0.745,-0.6175,-0.2725,
35,-0.9875,-0.94,-0.8,-0.255,-0.3425,-0.725
36,-0.8825,-0.94,-0.845,-0.675,-0.3787,-0.8275
37,-0.8275,-0.975,-0.8525,-0.7375,-0.6,-0.8475
38,-0.8775,-0.9825,-0.8525,-0.735,-0.635,-0.85
39,-0.88,-0.9875,-0.8525,-0.745,-0.56,-0.835
40,-0.9175,-1.0013,-0.865,-0.8,-0.565,-0.88
41,,-0.925,-1.0525,-0.925,-0.46,-0.8925
42,,-0.875,-1.045,-0.93,-0.3875,-0.7975
43,,-0.88,-1.0525,-0.9275,-0.3375,-0.7175
44,,-0.825,-0.9288,-0.8825,-0.4425,-0.61
45,,-0.785,-0.8975,-0.84,-0.4325,-0.5625
46,,-0.79,,-0.84,-0.4875,-0.57
47,,-0.79,-0.9,-0.8375,-0.465,-0.48
48,,-0.79,-0.895,-0.8375,-0.5063,-0.5025
