SCOTT CITY MO - MIDWEST GRAIN &amp; BARGE - Soybeans Basis,,,,,,
"Week
",2019,2018,2017,2016,2015,2014
1,,-0.0075,-0.0025,0.1525,0.1475,0.39
2,-0.425,-0.1,0.005,0.25,0.1975,0.3975
3,-0.35,-0.0975,-0.1525,0.25,0.205,0.5
4,-0.2575,-0.1,-0.145,0.25,0.1475,0.23
5,-0.295,-0.1,-0.0975,0.1525,0.15,0.1875
6,-0.295,-0.1025,-0.0475,0.1,0.2025,0.1
7,-0.145,-0.2025,-0.0025,0.105,0.2025,0.0975
8,-0.3,-0.1,-0.0075,0.0525,0.2025,-0.0525
9,-0.25,-0.2525,-0.1575,-0.084,0.1975,-0.095
10,-0.195,-0.3025,-0.0975,0.0025,,-0.1
11,-0.415,-0.2975,-0.15,0.055,0,-0.1025
12,-0.3775,-0.35,-0.1238,-0.0113,-0.0975,-0.1
13,-0.3,-0.3525,-0.1525,-0.05,-0.0975,-0.2025
14,-0.3,-0.3475,-0.1475,-0.0475,-0.095,-0.2025
15,-0.2825,-0.3475,-0.1525,0.0425,-0.1,-0.1975
16,-0.2775,-0.345,-0.0975,0,-0.095,-0.1963
17,-0.2075,-0.45,-0.2525,-0.1,-0.095,-0.1525
18,-0.345,-0.4475,-0.2525,-0.2525,-0.1025,-0.1975
19,-0.3475,-0.4475,-0.246,-0.2525,-0.1025,-0.1925
20,,,-0.2513,-0.295,,-0.2
21,,,,-0.2975,,-0.205
22,,,,,,-0.425
23,,,,,,
24,,,,-0.355,,
25,-0.145,,,,,
26,-0.195,,,0.0725,,
27,-0.275,,-0.1675,0.0875,,
28,-0.49,,-0.1875,0.0625,,
29,-0.495,,-0.23,0.025,0.1025,
30,-0.495,-0.2375,-0.24,0.075,0.115,
31,-0.3875,-0.185,-0.2675,,0.105,
32,-0.515,-0.3325,-0.03,-0.0575,0.2,
33,-0.735,,-0.09,,,
34,-0.4975,,,,,
35,-0.4225,-0.8,,,,
36,-0.2975,-0.6,-0.395,0.005,0.05,
37,-0.2975,-0.645,-0.4525,-0.0975,0.1,-0.2975
38,-0.25,-0.5025,-0.4025,-0.085,0.155,0
39,-0.1475,-0.6075,-0.3025,-0.095,-0.05,0.105
40,,-0.4763,-0.395,-0.15,0.095,0.1013
41,,-0.355,-0.3825,-0.245,0.13,0.0975
42,,-0.205,-0.295,-0.19,0.2025,0.1525
43,,-0.25,-0.2025,-0.0975,0.2025,0.0525
44,,-0.295,-0.1238,-0.1625,0.1275,0.3
45,,-0.325,-0.0975,-0.05,0.1975,0.2975
46,,-0.35,-0.1525,0.05,0.1725,0.3
47,,-0.2,-0.1,0.0525,0.205,0.3
48,,-0.2,-0.095,0.0525,0.1787,0.2075
